index,open,high,low,close,volume
2020-12-08 10:26:00,321.4360,321.5920,321.3690,321.5350,229
2020-12-08 10:25:00,321.3480,321.5020,321.2220,321.4450,956
2020-12-08 10:24:00,321.4500,321.5780,321.2880,321.4540,2524
2020-12-08 10:23:00,321.4410,321.5970,321.3410,321.4810,1018
2020-12-08 10:22:00,321.4410,321.5690,321.3640,321.5110,2040
2020-12-08 10:21:00,321.3930,321.5490,321.2500,321.4870,6100
2020-12-08 10:20:00,321.6330,321.7610,321.3940,321.5330,4471
2020-12-08 10:19:00,321.6450,321.8000,321.5540,321.6920,2553
2020-12-08 10:18:00,321.7530,321.8810,321.5540,321.7160,5014
2020-12-08 10:17:00,321.7450,321.8730,321.6110,321.7910,1100
2020-12-08 10:16:00,321.8680,322.0060,321.7830,321.9340,943
2020-12-08 10:15:00,322.1060,322.2340,321.8490,321.9870,2600
2020-12-08 10:14:00,322.1630,322.3100,321.9920,322.1820,7822
2020-12-08 10:13:00,322.1730,322.3010,322.0920,322.2290,377
2020-12-08 10:12:00,322.1770,322.3090,322.0390,322.1770,1297
2020-12-08 10:11:00,322.1730,322.3200,322.1060,322.2480,1050
2020-12-08 10:10:00,322.1540,322.3060,322.0870,322.2340,1479
2020-12-08 10:09:00,322.0870,322.2720,322.0130,322.2150,12624
2020-12-08 10:08:00,322.1490,322.3060,322.0200,322.1580,1100
2020-12-08 10:07:00,321.9440,322.2910,321.8780,322.2050,4308
2020-12-08 10:06:00,321.7830,322.0730,321.7160,322.0150,2219
2020-12-08 10:05:00,321.7540,321.9300,321.6690,321.8440,1617
2020-12-08 10:04:00,321.6690,321.8540,321.6020,321.7680,950
2020-12-08 10:03:00,321.7730,321.9010,321.5650,321.7020,1437
2020-12-08 10:02:00,321.7260,321.9300,321.6110,321.7770,5181
2020-12-08 10:01:00,321.8870,322.0150,321.7540,321.8920,6340
2020-12-08 10:00:00,321.9470,322.1110,321.7540,321.8920,2005
2020-12-08 09:59:00,321.8160,322.0420,321.7070,321.9840,2220
2020-12-08 09:58:00,321.9250,322.0820,321.8590,321.9960,500
2020-12-08 09:57:00,321.8400,322.0730,321.7540,321.9090,3555
2020-12-08 09:56:00,321.7720,321.9790,321.6880,321.9200,2876
2020-12-08 09:55:00,321.7730,321.9390,321.6970,321.8360,4250
2020-12-08 09:54:00,321.7450,321.9300,321.6420,321.8630,2285
2020-12-08 09:53:00,321.7640,321.9730,321.6410,321.7780,5357
2020-12-08 09:52:00,321.6880,321.9010,321.6070,321.7960,681
2020-12-08 09:51:00,321.6730,321.8680,321.6070,321.8110,253
2020-12-08 09:50:00,321.6260,321.8730,321.5400,321.7870,3217
2020-12-08 09:49:00,321.6780,321.8060,321.5070,321.7010,3645
2020-12-08 09:48:00,321.7920,321.9780,321.6590,321.7960,3238
2020-12-08 09:47:00,321.7630,321.8920,321.6320,321.8340,6427
2020-12-08 09:46:00,321.8600,322.0820,321.7070,321.8440,5741
2020-12-08 09:45:00,321.9540,322.1010,321.7830,321.9770,4656
2020-12-08 09:44:00,321.7830,322.0440,321.6970,321.9870,5391
2020-12-08 09:43:00,321.8210,321.9490,321.6590,321.8630,7608
2020-12-08 09:42:00,321.7710,321.9390,321.6590,321.7960,17906
2020-12-08 09:41:00,321.6590,321.8990,321.5450,321.8410,5530
2020-12-08 09:40:00,321.7070,321.8540,321.5540,321.6920,23155
2020-12-08 09:39:00,321.6780,321.8420,321.6110,321.7770,4264
2020-12-08 09:38:00,321.7070,321.9350,321.6400,321.8440,3245
2020-12-08 09:37:00,321.7830,321.9110,321.6400,321.8540,811
2020-12-08 09:36:00,321.7070,321.9350,321.6320,321.8770,1880
2020-12-08 09:35:00,321.6780,321.9390,321.5920,321.8540,2862
2020-12-08 09:34:00,321.4690,321.8060,321.4020,321.6820,6749
2020-12-08 09:33:00,321.4980,321.6450,321.2600,321.3970,25793
2020-12-08 09:32:00,321.5170,321.6540,321.2600,321.4160,4900
2020-12-08 09:31:00,321.5260,321.7590,321.4500,321.5870,3982
2020-12-08 09:30:00,321.2690,321.6920,321.1650,321.6350,57027
2020-12-08 09:29:00,321.2410,321.4350,321.1740,321.3780,1200
2020-12-08 09:28:00,321.2310,321.3590,321.1650,321.3020,118
2020-12-08 09:23:00,321.1650,321.2930,321.0980,321.2350,100
2020-12-08 09:11:00,321.0790,321.2070,321.0130,321.1500,500
2020-12-08 09:10:00,321.0700,321.1980,320.9650,321.1020,873
2020-12-08 09:06:00,321.0980,321.2260,320.9270,321.0640,300
2020-12-08 09:05:00,321.1360,321.2640,321.0700,321.2070,299
2020-12-08 09:04:00,321.1550,321.2830,321.0890,321.2260,147
2020-12-08 09:03:00,321.1650,321.2930,321.0980,321.2350,100
2020-12-08 09:01:00,321.2120,321.3400,321.1460,321.2830,200
2020-12-08 08:45:00,321.1840,321.3120,321.0700,321.2070,200
2020-12-08 08:41:00,321.1270,321.2550,321.0600,321.1970,100
2020-12-08 08:37:00,321.1550,321.2830,321.0890,321.2260,300
2020-12-08 08:34:00,321.2500,321.3780,321.1840,321.3210,200
2020-12-08 08:27:00,321.2600,321.3880,321.1930,321.3300,135
2020-12-08 08:24:00,321.2120,321.3400,321.1460,321.2830,200
